,0
0,0.0
1,0.0
2,0.00199
3,0.00199
4,0.00199
5,0.00199
6,0.00199
7,0.00199
8,0.00199
9,0.00362
10,0.0043
11,0.00652
12,0.00719
13,0.05525
14,0.62196
15,1.21089
16,1.87553
17,2.53804
18,3.21077
19,3.83456
20,4.44229
21,4.99326
22,5.45035
23,5.83862
24,6.15775
25,6.39499
26,6.65396
27,6.88276
28,7.09601
29,7.27394
30,7.42186
31,7.55641
32,7.69214
33,7.79805
34,7.90152
35,8.02814
36,8.07968
37,8.13359
38,8.1855
39,8.28874
40,8.3504
41,8.4038
42,8.4484
43,8.48824
44,8.53286
45,8.58498
46,8.6616
47,8.68923
48,8.72974
49,8.75551
50,8.7799
51,8.81836
52,8.85489
53,8.87074
54,8.89135
55,8.9241
56,8.93885
57,8.98522
58,9.02642
59,9.05771
60,9.08207
61,9.11063
62,9.14076
63,9.17732
64,9.20393
65,9.21745
66,9.23912
67,9.26222
68,9.29527
69,9.32079
70,9.35629
71,9.37432
72,9.41746
73,9.43138
74,9.49677
75,9.53559
76,9.55233
77,9.55425
78,9.59944
79,9.66503
80,9.68816
81,9.6786
82,9.68186
83,9.70567
84,9.73055
85,9.73712
86,9.74081
87,9.75562
88,9.77162
89,9.80953
90,9.81671
91,9.84085
92,9.8948
93,9.90874
94,9.90831
95,9.96501
96,10.01842
97,10.05824
98,10.09937
99,10.09094
100,10.11785
101,10.12278
102,10.15053
103,10.17493
104,10.18378
105,10.21493
106,10.21443
107,10.20083
108,10.20068
109,10.20661
110,10.20815
111,10.20184
112,10.21027
113,10.21418
114,10.22096
115,10.2407
116,10.25726
117,10.25451
118,10.24857
119,10.24818
120,10.25276
121,10.25524
122,10.24628
123,10.24219
124,10.24679
125,10.29945
126,10.30133
127,10.32388
128,10.33375
129,10.35125
130,10.34734
131,10.36788
132,10.34724
133,10.35094
134,10.35776
135,10.36477
136,10.38067
137,10.38882
138,10.3948
139,10.4019
140,10.38374
141,10.39263
142,10.38756
143,10.39099
144,10.38713
145,10.39093
146,10.37564
147,10.36458
148,10.38945
149,10.40177
150,10.39348
151,10.38974
152,10.38824
153,10.38111
154,10.39537
155,10.41498
156,10.42878
157,10.4437
158,10.44954
159,10.4532
160,10.48004
161,10.4934
162,10.49391
163,10.51124
164,10.49509
165,10.48367
166,10.46661
167,10.45768
168,10.46623
169,10.46615
170,10.45408
171,10.44868
172,10.44444
173,10.46438
174,10.46689
175,10.47118
176,10.443
177,10.4581
178,10.46955
179,10.45898
180,10.45121
181,10.44829
182,10.44115
183,10.43928
184,10.45312
185,10.45153
186,10.45559
187,10.45555
188,10.45903
189,10.44575
190,10.44608
191,10.44175
192,10.44346
193,10.45368
194,10.47453
195,10.47828
196,10.46697
197,10.4772
198,10.46951
199,10.47711
200,10.48574
201,10.48175
202,10.48721
203,10.49944
204,10.50501
205,10.51306
206,10.52617
207,10.54081
208,10.54226
209,10.54239
210,10.53979
211,10.53148
212,10.52316
213,10.51729
214,10.52189
215,10.52344
216,10.51107
217,10.49779
218,10.49057
219,10.49923
220,10.49378
221,10.47799
222,10.47306
223,10.47563
224,10.4848
225,10.49627
226,10.49319
227,10.46176
228,10.46504
229,10.44871
230,10.44231
231,10.4391
232,10.44146
233,10.43214
234,10.44368
235,10.43522
236,10.42819
237,10.4155
238,10.42516
239,10.4109
240,10.41937
241,10.42409
242,10.43461
243,10.44932
244,10.46494
245,10.47277
246,10.48391
247,10.48608
248,10.4802
249,10.46829
250,10.48543
251,10.48235
252,10.46808
253,10.46313
254,10.45849
255,10.43443
256,10.43062
257,10.43421
258,10.43433
259,10.43714
260,10.42645
261,10.42309
262,10.41152
263,10.39313
264,10.39216
265,10.3856
266,10.38877
267,10.3858
268,10.40029
269,10.37897
270,10.36211
271,10.3544
272,10.33734
273,10.32366
274,10.33052
275,10.33978
276,10.33763
277,10.32952
278,10.32619
279,10.32298
280,10.32403
281,10.33225
282,10.31645
283,10.3094
284,10.32708
285,10.32158
286,10.3149
287,10.3091
288,10.31323
289,10.31922
290,10.31116
291,10.29147
292,10.2914
293,10.28088
294,10.27305
295,10.28577
296,10.29555
297,10.29357
298,10.30012
299,10.29743
